"행정구역","2019년02월_계_총인구수","2019년02월_계_연령구간인구수","2019년02월_계_0세","2019년02월_계_1세","2019년02월_계_2세","2019년02월_계_3세","2019년02월_계_4세","2019년02월_계_5세","2019년02월_계_6세","2019년02월_계_7세","2019년02월_계_8세","2019년02월_계_9세","2019년02월_계_10세","2019년02월_계_11세","2019년02월_계_12세","2019년02월_계_13세","2019년02월_계_14세","2019년02월_계_15세","2019년02월_계_16세","2019년02월_계_17세","2019년02월_계_18세","2019년02월_계_19세","2019년02월_계_20세","2019년02월_계_21세","2019년02월_계_22세","2019년02월_계_23세","2019년02월_계_24세","2019년02월_계_25세","2019년02월_계_26세","2019년02월_계_27세","2019년02월_계_28세","2019년02월_계_29세","2019년02월_계_30세","2019년02월_계_31세","2019년02월_계_32세","2019년02월_계_33세","2019년02월_계_34세","2019년02월_계_35세","2019년02월_계_36세","2019년02월_계_37세","2019년02월_계_38세","2019년02월_계_39세","2019년02월_계_40세","2019년02월_계_41세","2019년02월_계_42세","2019년02월_계_43세","2019년02월_계_44세","2019년02월_계_45세","2019년02월_계_46세","2019년02월_계_47세","2019년02월_계_48세","2019년02월_계_49세","2019년02월_계_50세","2019년02월_계_51세","2019년02월_계_52세","2019년02월_계_53세","2019년02월_계_54세","2019년02월_계_55세","2019년02월_계_56세","2019년02월_계_57세","2019년02월_계_58세","2019년02월_계_59세","2019년02월_계_60세","2019년02월_계_61세","2019년02월_계_62세","2019년02월_계_63세","2019년02월_계_64세","2019년02월_계_65세","2019년02월_계_66세","2019년02월_계_67세","2019년02월_계_68세","2019년02월_계_69세","2019년02월_계_70세","2019년02월_계_71세","2019년02월_계_72세","2019년02월_계_73세","2019년02월_계_74세","2019년02월_계_75세","2019년02월_계_76세","2019년02월_계_77세","2019년02월_계_78세","2019년02월_계_79세","2019년02월_계_80세","2019년02월_계_81세","2019년02월_계_82세","2019년02월_계_83세","2019년02월_계_84세","2019년02월_계_85세","2019년02월_계_86세","2019년02월_계_87세","2019년02월_계_88세","2019년02월_계_89세","2019년02월_계_90세","2019년02월_계_91세","2019년02월_계_92세","2019년02월_계_93세","2019년02월_계_94세","2019년02월_계_95세","2019년02월_계_96세","2019년02월_계_97세","2019년02월_계_98세","2019년02월_계_99세","2019년02월_계_100세 이상"
"충청북도 영동군 (4374000000)","49,215","49,215","264","277","206","255","239","262","268","288","307","297","290","322","301","307","332","326","387","418","512","672","666","661","556","580","505","436","390","397","332","361","343","317","356","345","333","363","423","424","435","496","442","450","411","534","610","695","603","685","708","765","813","733","826","818","830","687","957","1,063","1,089","1,028","972","1,025","972","984","879","762","787","682","668","741","740","620","630","519","581","597","926","713","518","673","581","545","512","462","431","331","277","225","150","139","136","127","87","58","34","27","37","21","12","9","29"
"충청북도 영동군 영동읍(4374025000)","21,886","21,886","155","161","140","173","155","188","187","185","207","192","182","208","178","198","203","201","235","254","314","445","450","430","339","323","297","227","233","226","182","204","187","174","217","212","197","210","260","258","280","303","263","284","231","295","338","379","323","366","360","365","405","321","366","329","360","268","380","419","387","363","335","350","307","316","308","234","269","203","224","224","226","187","191","178","185","172","263","181","155","162","147","144","151","115","98","72","62","49","38","26","35","27","21","13","11","6","10","3","1","2","13"
"충청북도 영동군 용산면(4374031000)","3,437","3,437","15","18","5","10","8","10","7","21","9","16","12","13","12","12","12","19","15","20","27","27","29","33","32","37","25","28","22","17","21","29","19","17","21","16","15","22","25","22","23","22","22","26","28","23","47","38","46","49","44","57","58","49","63","72","57","46","76","86","91","88","83","83","84","67","78","69","67","67","40","61","57","53","43","41","48","44","73","61","38","65","54","45","40","45","44","26","25","21","11","11","15","13","14","7","2","1","4","2","1","0","5"
"충청북도 영동군 황간면(4374032000)","4,492","4,492","18","21","11","20","23","15","17","25","26","31","22","22","20","28","26","25","25","31","37","55","29","46","43","41","29","40","24","39","32","38","28","27","31","23","25","29","33","34","32","40","37","24","37","45","48","44","42","57","66","77","72","73","75","64","90","76","98","106","111","110","98","108","111","108","93","76","83","69","64","83","70","61","75","56","51","64","98","78","62","65","56","51","47","54","44","36","26","22","9","11","14","8","6","4","1","2","5","2","1","2","5"
"충청북도 영동군 추풍령면(4374033500)","2,392","2,392","6","5","1","5","6","3","9","3","3","4","14","9","19","11","9","12","13","26","20","21","23","23","16","22","18","18","17","12","10","11","13","15","11","6","8","15","9","13","18","15","15","19","16","24","16","35","25","27","28","32","38","38","40","42","39","44","58","55","62","43","69","53","77","64","52","43","37","36","39","52","57","47","49","21","33","30","52","44","20","49","32","40","31","23","30","25","18","16","11","11","7","14","1","4","2","3","3","7","1","0","1"
"충청북도 영동군 매곡면(4374034000)","1,999","1,999","13","4","4","3","6","5","5","3","7","3","5","6","14","6","14","8","11","13","10","13","17","16","11","18","15","15","8","12","10","13","6","10","4","10","8","9","5","10","16","11","13","9","14","22","20","18","20","12","25","29","27","44","29","42","26","37","37","49","47","58","51","54","44","42","56","40","39","41","35","28","33","33","27","28","24","30","45","46","30","38","40","32","39","35","24","31","18","16","12","8","3","7","3","1","4","2","2","1","2","0","0"
"충청북도 영동군 상촌면(4374035000)","2,425","2,425","5","6","8","5","8","5","10","8","8","6","9","13","8","11","12","7","17","8","12","16","8","12","12","23","17","12","11","9","12","8","21","7","9","15","10","13","14","10","9","9","16","10","12","16","28","29","28","31","31","32","30","26","35","47","35","29","34","62","67","59","62","67","54","78","49","39","56","39","60","50","54","37","47","37","30","45","69","59","40","55","35","32","39","32","38","19","22","22","15","14","11","15","9","9","1","0","2","0","2","0","1"
"충청북도 영동군 양강면(4374036000)","3,342","3,342","17","18","11","15","10","10","7","8","15","14","17","19","20","11","16","23","18","25","33","33","39","36","38","53","48","42","25","25","12","16","24","20","19","19","24","17","21","24","14","30","19","18","14","34","29","42","30","43","40","52","56","55","56","68","57","51","74","78","88","73","73","69","72","61","62","67","68","49","52","49","54","49","54","39","47","46","82","59","29","54","54","47","35","45","38","31","24","17","10","10","9","8","3","1","2","3","0","3","1","0","3"
"충청북도 영동군 용화면(4374037000)","1,004","1,004","1","1","2","0","4","3","2","4","7","4","4","3","6","4","4","3","8","7","7","7","7","13","9","9","5","4","2","7","3","4","9","2","3","6","3","3","4","4","3","8","3","9","3","12","4","10","6","14","10","10","11","20","19","12","19","16","18","22","27","28","24","32","28","34","16","17","12","12","12","12","23","15","19","11","20","17","31","25","23","29","21","17","10","13","13","11","11","2","7","4","2","4","5","3","1","1","4","0","0","1","0"
"충청북도 영동군 학산면(4374038000)","2,926","2,926","9","23","8","11","11","6","9","10","10","14","8","12","2","7","14","5","15","9","15","19","16","16","22","19","13","28","16","16","20","14","13","17","16","7","16","13","23","14","17","16","15","17","14","19","28","41","25","17","31","38","41","35","62","58","50","37","58","65","87","79","63","85","65","71","69","62","49","59","50","54","63","49","39","38","54","60","67","66","37","63","59","50","37","40","41","34","24","18","14","20","16","11","10","5","3","4","4","2","1","3","1"
