"행정구역","2021년05월_남_총인구수","2021년05월_남_연령구간인구수","2021년05월_남_0~9세","2021년05월_남_10~19세","2021년05월_남_20~29세","2021년05월_남_30~39세","2021년05월_남_40~49세","2021년05월_남_50~59세","2021년05월_남_60~69세","2021년05월_남_70~79세","2021년05월_남_80~89세","2021년05월_남_90~99세","2021년05월_남_100세 이상","2021년05월_여_총인구수","2021년05월_여_연령구간인구수","2021년05월_여_0~9세","2021년05월_여_10~19세","2021년05월_여_20~29세","2021년05월_여_30~39세","2021년05월_여_40~49세","2021년05월_여_50~59세","2021년05월_여_60~69세","2021년05월_여_70~79세","2021년05월_여_80~89세","2021년05월_여_90~99세","2021년05월_여_100세 이상"
"서울특별시  (1100000000)","4,654,720","4,654,720","310,505","393,586","698,539","727,357","744,902","743,420","597,120","317,430","110,869","10,357","635","4,920,635","4,920,635","294,548","374,740","747,179","728,009","758,411","766,513","667,019","379,240","172,621","30,470","1,885"
"서울특별시 종로구 (1111000000)","71,204","71,204","3,651","5,354","11,343","9,760","10,476","12,632","10,025","5,244","2,405","295","19","75,173","75,173","3,627","5,437","11,876","9,877","11,024","12,400","10,098","6,580","3,559","654","41"
"서울특별시 종로구 청운효자동(1111051500)","5,582","5,582","393","614","774","732","953","881","619","380","212","23","1","6,460","6,460","383","532","791","869","1,169","1,033","760","563","307","47","6"
"서울특별시 종로구 사직동(1111053000)","4,220","4,220","287","298","578","625","651","685","567","295","200","32","2","5,147","5,147","280","373","664","821","812","830","634","422","258","50","3"
"서울특별시 종로구 삼청동(1111054000)","1,192","1,192","48","104","163","154","167","197","187","113","47","11","1","1,305","1,305","58","79","147","174","185","190","217","138","95","17","5"
"서울특별시 종로구 부암동(1111055000)","4,658","4,658","260","472","686","585","735","768","630","343","156","22","1","5,079","5,079","264","419","608","623","855","924","687","422","222","52","3"
"서울특별시 종로구 평창동(1111056000)","8,502","8,502","597","803","1,216","1,032","1,208","1,489","1,212","599","303","40","3","9,728","9,728","570","800","1,206","1,192","1,492","1,759","1,392","731","463","118","5"
"서울특별시 종로구 무악동(1111057000)","3,887","3,887","314","449","425","434","672","734","468","250","126","13","2","4,442","4,442","372","546","490","505","757","674","545","344","177","31","1"
"서울특별시 종로구 교남동(1111058000)","4,700","4,700","418","381","587","737","846","768","537","283","131","12","0","5,478","5,478","409","438","659","893","958","824","631","438","195","32","1"
"서울특별시 종로구 가회동(1111060000)","1,945","1,945","94","175","226","259","345","330","269","162","75","9","1","2,260","2,260","92","154","264","304","380","379","310","237","112","27","1"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","4,328","4,328","98","109","471","530","585","935","909","486","183","19","3","2,937","2,937","89","121","455","402","371","402","503","347","201","44","2"
"서울특별시 종로구 종로5.6가동(1111063000)","2,813","2,813","53","134","554","421","346","522","443","234","98","8","0","2,430","2,430","56","143","553","315","233","393","324","269","120","23","1"
"서울특별시 종로구 이화동(1111064000)","3,485","3,485","118","188","765","614","458","541","444","236","107","13","1","3,874","3,874","116","209","865","623","469","548","493","323","202","25","1"
"서울특별시 종로구 혜화동(1111065000)","7,988","7,988","311","675","2,161","1,098","1,051","1,128","792","482","261","29","0","8,582","8,582","338","687","2,246","960","1,135","1,200","843","703","398","67","5"
"서울특별시 종로구 창신제1동(1111067000)","2,669","2,669","64","124","326","308","311","606","579","259","81","11","0","2,296","2,296","67","106","285","224","287","459","443","253","149","23","0"
"서울특별시 종로구 창신제2동(1111068000)","4,140","4,140","121","240","604","518","536","947","706","325","126","17","0","3,937","3,937","98","226","557","360","491","846","692","447","190","27","3"
"서울특별시 종로구 창신제3동(1111069000)","3,290","3,290","198","246","510","450","457","594","509","228","81","16","1","3,414","3,414","170","251","436","479","459","646","513","282","156","22","0"
"서울특별시 종로구 숭인제1동(1111070000)","2,904","2,904","145","162","396","419","461","575","427","216","90","10","3","3,089","3,089","134","193","403","396","430","573","479","309","145","24","3"
"서울특별시 종로구 숭인제2동(1111071000)","4,901","4,901","132","180","901","844","694","932","727","353","128","10","0","4,715","4,715","131","160","1,247","737","541","720","632","352","169","25","1"
"서울특별시 중구 (1114000000)","60,106","60,106","3,379","3,323","8,611","9,942","9,086","10,287","8,837","4,642","1,761","222","16","63,027","63,027","3,160","3,341","9,753","9,994","8,632","10,003","8,845","5,685","2,997","573","44"
"서울특별시 중구 소공동(1114052000)","1,065","1,065","86","41","96","222","258","151","136","52","18","5","0","1,135","1,135","72","83","160","248","231","148","105","54","26","6","2"
"서울특별시 중구 회현동(1114054000)","2,551","2,551","107","81","228","248","359","547","609","264","94","14","0","2,294","2,294","85","117","268","280","299","396","419","261","129","39","1"
"서울특별시 중구 명동(1114055000)","1,238","1,238","49","60","164","212","184","202","213","110","39","4","1","1,621","1,621","34","73","195","198","235","279","292","194","101","17","3"
"서울특별시 중구 필동(1114057000)","2,099","2,099","101","95","367","342","284","340","311","172","68","17","2","1,945","1,945","85","84","370","294","210","251","306","182","121","35","7"
"서울특별시 중구 장충동(1114058000)","2,301","2,301","93","135","607","359","301","302","258","165","72","9","0","2,241","2,241","86","136","557","311","264","293","263","195","119","16","1"
"서울특별시 중구 광희동(1114059000)","2,670","2,670","69","89","425","476","343","472","453","255","75","12","1","2,548","2,548","59","101","588","389","294","363","371","248","116","18","1"
"서울특별시 중구 을지로동(1114060500)","1,042","1,042","18","16","85","177","120","217","258","110","34","7","0","674","674","22","21","114","129","65","79","120","78","36","10","0"
"서울특별시 중구 신당동(1114061500)","3,778","3,778","103","136","616","666","574","723","545","300","102","11","2","3,801","3,801","147","149","731","636","469","626","514","343","149","37","0"
"서울특별시 중구 다산동(1114062500)","6,775","6,775","286","427","1,116","1,145","1,027","1,075","932","547","198","21","1","7,218","7,218","252","363","1,244","1,035","988","1,207","1,063","662","335","60","9"
"서울특별시 중구 약수동(1114063500)","7,903","7,903","514","474","977","1,142","1,186","1,323","1,253","699","293","40","2","8,912","8,912","524","467","1,025","1,250","1,213","1,471","1,448","892","514","107","1"
"서울특별시 중구 청구동(1114064500)","6,519","6,519","378","427","942","1,066","931","1,125","956","453","220","20","1","7,247","7,247","362","436","993","1,088","972","1,199","1,039","709","386","62","1"
"서울특별시 중구 신당제5동(1114065000)","5,051","5,051","284","265","758","836","792","976","652","354","122","12","0","5,334","5,334","284","265","895","860","743","883","676","471","221","33","3"
"서울특별시 중구 동화동(1114066500)","5,073","5,073","391","425","691","631","754","946","737","331","144","20","3","5,381","5,381","309","424","686","711","782","1,005","719","418","277","44","6"
"서울특별시 중구 황학동(1114067000)","5,985","5,985","381","257","867","1,371","908","896","759","412","122","12","0","6,563","6,563","351","261","1,227","1,416","911","867","799","476","209","45","1"
"서울특별시 중구 중림동(1114068000)","6,056","6,056","519","395","672","1,049","1,065","992","765","418","160","18","3","6,113","6,113","488","361","700","1,149","956","936","711","502","258","44","8"
"서울특별시 용산구 (1117000000)","109,494","109,494","6,769","7,697","15,901","19,030","17,238","18,079","13,892","7,228","3,206","422","32","118,021","118,021","6,430","7,509","17,774","19,207","17,772","18,536","15,053","9,354","5,333","982","71"
"서울특별시 용산구 후암동(1117051000)","8,321","8,321","477","652","1,265","1,425","1,319","1,357","1,043","556","199","26","2","8,804","8,804","444","556","1,256","1,348","1,388","1,406","1,191","729","397","81","8"
"서울특별시 용산구 용산2가동(1117052000)","4,666","4,666","174","258","807","875","689","669","632","399","145","16","2","4,990","4,990","163","252","716","827","639","750","781","504","298","60","0"
"서울특별시 용산구 남영동(1117053000)","4,606","4,606","87","152","439","581","676","1,126","975","387","154","20","9","2,943","2,943","87","108","509","473","398","488","410","281","144","35","10"
"서울특별시 용산구 청파동(1117055500)","9,126","9,126","332","600","1,647","1,706","1,330","1,513","1,112","593","271","21","1","10,371","10,371","325","529","2,579","1,447","1,328","1,541","1,275","871","407","67","2"
"서울특별시 용산구 원효로제1동(1117056000)","7,654","7,654","637","463","1,058","1,755","1,335","1,082","800","362","146","15","1","8,321","8,321","650","413","1,414","1,900","1,285","1,116","847","442","208","41","5"
"서울특별시 용산구 원효로제2동(1117057000)","6,611","6,611","441","494","878","1,056","1,112","1,137","838","451","186","17","1","7,441","7,441","458","721","1,006","1,044","1,138","1,184","913","561","365","47","4"
"서울특별시 용산구 효창동(1117058000)","4,820","4,820","386","383","730","905","727","768","497","275","128","20","1","5,394","5,394","373","348","845","965","813","838","584","377","215","34","2"
"서울특별시 용산구 용문동(1117059000)","5,755","5,755","368","401","874","984","883","965","696","413","156","14","1","6,289","6,289","368","379","938","1,017","896","998","842","560","240","48","3"
"서울특별시 용산구 한강로동(1117062500)","10,429","10,429","639","523","1,566","2,234","1,430","1,708","1,337","654","299","37","2","11,470","11,470","578","463","2,170","2,466","1,486","1,769","1,305","753","402","72","6"
"서울특별시 용산구 이촌제1동(1117063000)","12,977","12,977","1,406","1,446","1,428","1,565","2,189","2,198","1,469","741","452","81","2","14,735","14,735","1,280","1,434","1,492","1,982","2,656","2,394","1,578","1,029","745","141","4"
"서울특별시 용산구 이촌제2동(1117064000)","3,995","3,995","270","253","453","711","622","636","604","318","117","11","0","4,492","4,492","266","263","446","706","613","732","756","414","248","45","3"
"서울특별시 용산구 이태원제1동(1117065000)","3,170","3,170","108","129","577","604","415","496","475","225","121","19","1","3,354","3,354","121","132","511","506","436","552","525","321","195","49","6"
"서울특별시 용산구 이태원제2동(1117066000)","4,243","4,243","211","211","702","831","687","572","500","349","158","22","0","4,927","4,927","199","256","712","836","733","698","701","469","270","51","2"
"서울특별시 용산구 한남동(1117068500)","9,982","9,982","608","574","1,389","1,884","1,673","1,546","1,300","681","279","41","7","10,720","10,720","534","601","1,313","1,994","1,683","1,668","1,496","884","437","100","10"
"서울특별시 용산구 서빙고동(1117069000)","6,287","6,287","391","726","881","736","1,135","1,117","736","314","214","36","1","6,834","6,834","382","727","903","765","1,272","1,140","727","471","386","59","2"
"서울특별시 용산구 보광동(1117070000)","6,852","6,852","234","432","1,207","1,178","1,016","1,189","878","510","181","26","1","6,936","6,936","202","327","964","931","1,008","1,262","1,122","688","376","52","4"
"서울특별시 성동구 (1120000000)","141,358","141,358","10,144","9,715","21,935","23,489","22,093","23,265","18,084","9,035","3,279","290","29","148,298","148,298","9,743","9,764","22,553","24,339","21,968","23,447","18,924","11,236","5,442","833","49"
"서울특별시 성동구 왕십리제2동(1120052000)","8,064","8,064","596","603","1,160","1,438","1,280","1,302","1,009","483","177","15","1","8,611","8,611","597","581","1,297","1,440","1,273","1,398","1,074","642","264","44","1"
"서울특별시 성동구 왕십리도선동(1120053500)","12,663","12,663","1,175","801","1,971","2,134","1,992","2,075","1,512","717","264","22","0","13,936","13,936","1,116","764","2,315","2,466","2,001","2,302","1,552","867","475","77","1"
"서울특별시 성동구 마장동(1120054000)","11,159","11,159","606","806","2,143","1,682","1,503","1,809","1,513","773","296","26","2","11,416","11,416","571","821","2,110","1,557","1,471","1,869","1,542","949","437","81","8"
"서울특별시 성동구 사근동(1120055000)","6,151","6,151","217","350","2,556","882","596","635","457","318","126","9","5","5,862","5,862","200","444","2,138","709","529","667","517","420","204","28","6"
"서울특별시 성동구 행당제1동(1120056000)","6,724","6,724","485","483","1,077","1,095","1,050","1,084","837","439","154","19","1","7,231","7,231","484","521","1,147","1,154","1,103","1,161","837","535","246","39","4"
"서울특별시 성동구 행당제2동(1120057000)","11,078","11,078","876","935","1,398","1,708","1,905","1,907","1,309","741","277","21","1","12,566","12,566","895","1,134","1,558","1,887","2,049","2,007","1,525","992","447","70","2"
"서울특별시 성동구 응봉동(1120058000)","7,428","7,428","601","794","864","1,075","1,374","1,220","771","505","203","19","2","8,198","8,198","566","826","904","1,129","1,501","1,265","949","657","347","48","6"
"서울특별시 성동구 금호1가동(1120059000)","7,399","7,399","632","555","910","1,230","1,287","1,131","975","482","180","17","0","8,115","8,115","649","506","909","1,411","1,250","1,223","1,152","629","340","45","1"
"서울특별시 성동구 금호2.3가동(1120061500)","10,929","10,929","884","694","1,432","1,986","1,798","1,755","1,361","742","247","27","3","11,994","11,994","827","727","1,402","2,143","1,860","1,910","1,591","964","500","66","4"
"서울특별시 성동구 금호4가동(1120062000)","6,887","6,887","685","499","738","1,243","1,265","1,036","813","436","154","16","2","7,559","7,559","657","454","724","1,427","1,298","1,062","996","605","293","41","2"
"서울특별시 성동구 옥수동(1120064500)","12,220","12,220","1,272","856","1,302","2,233","2,197","1,771","1,505","753","296","32","3","14,054","14,054","1,281","796","1,568","2,749","2,254","2,090","1,794","966","457","95","4"
"서울특별시 성동구 성수1가제1동(1120065000)","8,405","8,405","551","577","1,359","1,428","1,171","1,582","1,132","444","145","14","2","8,369","8,369","461","541","1,256","1,441","1,223","1,535","1,110","514","256","30","2"
"서울특별시 성동구 성수1가제2동(1120066000)","6,396","6,396","370","440","1,029","1,169","963","1,033","837","419","126","8","2","6,566","6,566","346","425","1,059","1,193","1,013","976","836","459","231","28","0"
"서울특별시 성동구 성수2가제1동(1120067000)","8,475","8,475","420","445","1,179","1,387","1,193","1,646","1,421","571","203","8","2","7,732","7,732","385","416","1,069","1,190","1,035","1,405","1,227","668","286","48","3"
"서울특별시 성동구 성수2가제3동(1120069000)","5,601","5,601","296","269","929","1,009","751","962","820","396","146","20","3","5,472","5,472","279","252","1,043","932","713","832","722","446","221","28","4"
"서울특별시 성동구 송정동(1120072000)","5,607","5,607","273","305","871","876","840","1,060","896","354","121","11","0","4,994","4,994","242","256","829","726","688","874","764","399","186","30","0"
"서울특별시 성동구 용답동(1120079000)","6,172","6,172","205","303","1,017","914","928","1,257","916","462","164","6","0","5,623","5,623","187","300","1,225","785","707","871","736","524","252","35","1"
"서울특별시 광진구 (1121500000)","165,461","165,461","9,506","12,859","29,229","27,373","25,359","26,433","20,620","10,118","3,612","333","19","177,351","177,351","9,136","12,503","33,198","27,870","26,097","27,536","22,654","11,949","5,491","864","53"
"서울특별시 광진구 화양동(1121571000)","10,905","10,905","180","337","4,273","2,339","1,201","1,119","810","457","172","16","1","11,989","11,989","194","406","5,636","2,098","966","944","922","542","241","36","4"
"서울특별시 광진구 군자동(1121573000)","9,775","9,775","443","518","2,129","1,867","1,356","1,440","1,165","630","217","10","0","10,049","10,049","406","479","2,382","1,791","1,231","1,423","1,241","715","328","50","3"
"서울특별시 광진구 중곡제1동(1121574000)","7,568","7,568","368","372","1,270","1,506","1,110","1,231","1,002","523","175","10","1","7,997","7,997","348","358","1,567","1,446","1,014","1,244","1,132","619","226","43","0"
"서울특별시 광진구 중곡제2동(1121575000)","10,212","10,212","576","689","1,673","1,893","1,454","1,658","1,356","685","214","12","2","11,444","11,444","561","670","2,167","1,996","1,504","1,862","1,556","771","298","59","0"
"서울특별시 광진구 중곡제3동(1121576000)","8,096","8,096","402","470","1,299","1,391","1,154","1,421","1,172","587","183","16","1","8,252","8,252","332","442","1,358","1,272","1,106","1,458","1,231","693","309","46","5"
"서울특별시 광진구 중곡제4동(1121577000)","14,171","14,171","723","1,011","2,204","2,172","2,063","2,499","2,108","1,052","312","23","4","14,757","14,757","660","887","2,185","2,138","2,000","2,752","2,371","1,209","473","74","8"
"서울특별시 광진구 능동(1121578000)","5,229","5,229","271","264","1,014","1,152","824","654","576","332","125","17","0","6,195","6,195","264","259","1,358","1,443","802","765","687","414","177","24","2"
"서울특별시 광진구 광장동(1121581000)","16,962","16,962","1,640","2,775","2,046","1,612","3,470","2,837","1,533","663","341","43","2","18,109","18,109","1,501","2,692","2,052","2,099","4,088","2,742","1,548","790","493","101","3"
"서울특별시 광진구 자양제1동(1121582000)","10,915","10,915","466","773","2,082","1,867","1,695","1,743","1,364","646","259","20","0","11,670","11,670","489","699","2,295","1,853","1,673","1,838","1,520","889","360","53","1"
"서울특별시 광진구 자양제2동(1121583000)","12,243","12,243","804","984","1,831","1,886","1,931","1,998","1,787","774","224","23","1","12,967","12,967","777","856","1,922","1,938","2,020","2,202","1,929","879","378","63","3"
"서울특별시 광진구 자양제3동(1121584000)","13,666","13,666","1,123","1,268","1,930","2,011","2,165","2,234","1,794","742","353","45","1","14,796","14,796","1,130","1,345","1,943","2,249","2,385","2,432","1,815","885","531","77","4"
"서울특별시 광진구 자양제4동(1121584700)","8,705","8,705","336","413","1,347","1,384","1,219","1,593","1,447","713","235","17","1","8,767","8,767","342","436","1,402","1,166","1,142","1,423","1,560","860","383","52","1"
"서울특별시 광진구 구의제1동(1121585000)","10,420","10,420","415","561","2,172","2,156","1,577","1,526","1,152","616","223","20","2","11,411","11,411","389","574","2,598","2,144","1,574","1,607","1,336","773","357","46","13"
"서울특별시 광진구 구의제2동(1121586000)","12,831","12,831","856","1,182","1,827","1,881","2,069","2,174","1,635","890","293","23","1","13,754","13,754","833","1,151","1,853","1,885","2,180","2,350","1,940","1,014","478","67","3"
"서울특별시 광진구 구의제3동(1121587000)","13,763","13,763","903","1,242","2,132","2,256","2,071","2,306","1,719","808","286","38","2","15,194","15,194","910","1,249","2,480","2,352","2,412","2,494","1,866","896","459","73","3"
"서울특별시 동대문구 (1123000000)","167,463","167,463","10,317","11,764","27,716","25,467","25,569","26,566","22,656","12,434","4,564","390","20","170,770","170,770","9,755","11,521","28,453","23,865","23,988","25,861","24,106","15,055","7,067","1,041","58"
"서울특별시 동대문구 용신동(1123053600)","15,707","15,707","626","723","2,894","2,826","2,271","2,523","2,166","1,173","467","37","1","15,318","15,318","596","672","3,300","2,611","1,872","2,121","2,032","1,349","669","92","4"
